date,experiment,library,antibody,concentration,sort_bin,sample,experiment_type,number_cells,frac_escape,R1
210419,expt_0,lib1,none,0,trans,expt_0-none-0-trans,transformation,,,
210419,expt_0,lib2,none,0,trans,expt_0-none-0-trans,transformation,,,
210419,expt_1,lib1,RBD_expr_sort,sat,RBD,expt_1-RBD_expr_sort-sat-RBD,RBD_expr_sort,17612661,0.57,
210419,expt_1,lib2,RBD_expr_sort,sat,RBD,expt_1-RBD_expr_sort-sat-RBD,RBD_expr_sort,17597458,0.57,
210419,expt_2,lib1,SortSeq,sat,bin1,expt_2-SortSeq-sat-bin1,SortSeq,1243000,0.444,
210419,expt_2,lib1,SortSeq,sat,bin2,expt_2-SortSeq-sat-bin2,SortSeq,1245000,0.186,
210419,expt_2,lib1,SortSeq,sat,bin3,expt_2-SortSeq-sat-bin3,SortSeq,1977000,0.185,
210419,expt_2,lib1,SortSeq,sat,bin4,expt_2-SortSeq-sat-bin4,SortSeq,1572000,0.185,
210419,expt_2,lib2,SortSeq,sat,bin1,expt_2-SortSeq-sat-bin1,SortSeq,1540000,0.436,
210419,expt_2,lib2,SortSeq,sat,bin2,expt_2-SortSeq-sat-bin2,SortSeq,1248000,0.188,
210419,expt_2,lib2,SortSeq,sat,bin3,expt_2-SortSeq-sat-bin3,SortSeq,1551000,0.188,
210419,expt_2,lib2,SortSeq,sat,bin4,expt_2-SortSeq-sat-bin4,SortSeq,1218000,0.188,
210419,expt_3,lib1,ACE2_sort,sat,ACE2,expt_3-ACE2_sort-sat-ACE2,ACE2_sort,10008212,0.559,
210419,expt_3,lib2,ACE2_sort,sat,ACE2,expt_3-ACE2_sort-sat-ACE2,ACE2_sort,10046305,0.563,
210423,expt_4-7,lib1,none,0,ref,expt_4-7-none-0-ref,ab_selection,,,
210423,expt_4-7,lib2,none,0,ref,expt_4-7-none-0-ref,ab_selection,,,
210423,expt_4,lib1,LY-CoV555,400,abneg,expt_4-LY-CoV555-400-abneg,ab_selection,4975568,0.88,
210423,expt_4,lib2,LY-CoV555,400,abneg,expt_4-LY-CoV555-400-abneg,ab_selection,5033628,0.926,
210423,expt_5,lib1,S309,400,abneg,expt_5-S309-400-abneg,ab_selection,2513340,0.548,
210423,expt_5,lib2,S309,400,abneg,expt_5-S309-400-abneg,ab_selection,2529385,0.486,
210423,expt_6,lib1,M03-day-119,200,abneg,expt_6-M03-day-119-200-abneg,ab_selection,751683,0.091,
210423,expt_6,lib2,M03-day-119,200,abneg,expt_6-M03-day-119-200-abneg,ab_selection,1280768,0.167,
210423,expt_7,lib1,M03-day-119,200,bin1,expt_7-M03-day-119-200-bin1,ab_SortSeq,2539604,0.49,
210423,expt_7,lib1,M03-day-119,200,bin2,expt_7-M03-day-119-200-bin2,ab_SortSeq,1088682,0.269,
210423,expt_7,lib1,M03-day-119,200,bin3,expt_7-M03-day-119-200-bin3,ab_SortSeq,1041522,0.215,
210423,expt_7,lib1,M03-day-119,200,bin4,expt_7-M03-day-119-200-bin4,ab_SortSeq,372616,0.048,