plasmid,replicate,virus,dilution,uL_virus,RLU_per_well,date
2984,rep1,B.1.351-G446V,0.1,10,506085,210816
2984,rep1,B.1.351-G446V,0.05,5,170951,210816
2984,rep1,B.1.351-G446V,0.025,2.5,102446,210816
2984,rep1,B.1.351-G446V,0.0125,1.25,43835,210816
2984,rep1,B.1.351-G446V,0.00625,0.625,24680,210816
2984,rep1,B.1.351-G446V,0.003125,0.3125,6165,210816
2984,rep1,B.1.351-G446V,0.0015625,0.15625,4107,210816
2984,rep1,B.1.351-G446V,0.00078125,0.078125,8480,210816
2984,rep2,B.1.351-G446V,0.1,10,305083,210816
2984,rep2,B.1.351-G446V,0.05,5,107857,210816
2984,rep2,B.1.351-G446V,0.025,2.5,59875,210816
2984,rep2,B.1.351-G446V,0.0125,1.25,17075,210816
2984,rep2,B.1.351-G446V,0.00625,0.625,21410,210816
2984,rep2,B.1.351-G446V,0.003125,0.3125,265,210816
2984,rep2,B.1.351-G446V,0.0015625,0.15625,713,210816
2984,rep2,B.1.351-G446V,0.00078125,0.078125,11,210816
2985,rep1,B.1.351-L452R,0.1,10,3843720,210816
2985,rep1,B.1.351-L452R,0.05,5,1058893,210816
2985,rep1,B.1.351-L452R,0.025,2.5,413076,210816
2985,rep1,B.1.351-L452R,0.0125,1.25,177553,210816
2985,rep1,B.1.351-L452R,0.00625,0.625,81725,210816
2985,rep1,B.1.351-L452R,0.003125,0.3125,44133,210816
2985,rep1,B.1.351-L452R,0.0015625,0.15625,9480,210816
2985,rep1,B.1.351-L452R,0.00078125,0.078125,22643,210816
2985,rep2,B.1.351-L452R,0.1,10,3288893,210816
2985,rep2,B.1.351-L452R,0.05,5,831066,210816
2985,rep2,B.1.351-L452R,0.025,2.5,379382,210816
2985,rep2,B.1.351-L452R,0.0125,1.25,147723,210816
2985,rep2,B.1.351-L452R,0.00625,0.625,87638,210816
2985,rep2,B.1.351-L452R,0.003125,0.3125,15058,210816
2985,rep2,B.1.351-L452R,0.0015625,0.15625,30468,210816
2985,rep2,B.1.351-L452R,0.00078125,0.078125,7184,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.1,10,2789477,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.05,5,893090,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.025,2.5,376950,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.0125,1.25,188802,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.00625,0.625,98761,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.003125,0.3125,36874,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.0015625,0.15625,21982,210816
3160,rep1,B.1.351-N417K-K484E-Y501N,0.00078125,0.078125,5823,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.1,10,3049629,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.05,5,1024140,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.025,2.5,457266,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.0125,1.25,211951,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.00625,0.625,70108,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.003125,0.3125,42469,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.0015625,0.15625,27229,210816
3160,rep2,B.1.351-N417K-K484E-Y501N,0.00078125,0.078125,4390,210816
3161,rep1,B.1.351-N417K,0.1,10,1508976,210816
3161,rep1,B.1.351-N417K,0.05,5,570315,210816
3161,rep1,B.1.351-N417K,0.025,2.5,230301,210816
3161,rep1,B.1.351-N417K,0.0125,1.25,121650,210816
3161,rep1,B.1.351-N417K,0.00625,0.625,35878,210816
3161,rep1,B.1.351-N417K,0.003125,0.3125,32139,210816
3161,rep1,B.1.351-N417K,0.0015625,0.15625,13840,210816
3161,rep1,B.1.351-N417K,0.00078125,0.078125,4214,210816
3161,rep2,B.1.351-N417K,0.1,10,1794300,210816
3161,rep2,B.1.351-N417K,0.05,5,578067,210816
3161,rep2,B.1.351-N417K,0.025,2.5,268756,210816
3161,rep2,B.1.351-N417K,0.0125,1.25,90531,210816
3161,rep2,B.1.351-N417K,0.00625,0.625,62584,210816
3161,rep2,B.1.351-N417K,0.003125,0.3125,19064,210816
3161,rep2,B.1.351-N417K,0.0015625,0.15625,5661,210816
3161,rep2,B.1.351-N417K,0.00078125,0.078125,4599,210816
3162,rep1,B.1.351-Y501N,0.1,10,1607641,210816
3162,rep1,B.1.351-Y501N,0.05,5,569616,210816
3162,rep1,B.1.351-Y501N,0.025,2.5,217104,210816
3162,rep1,B.1.351-Y501N,0.0125,1.25,95412,210816
3162,rep1,B.1.351-Y501N,0.00625,0.625,48203,210816
3162,rep1,B.1.351-Y501N,0.003125,0.3125,25780,210816
3162,rep1,B.1.351-Y501N,0.0015625,0.15625,14194,210816
3162,rep1,B.1.351-Y501N,0.00078125,0.078125,6486,210816
3162,rep2,B.1.351-Y501N,0.1,10,1684353,210816
3162,rep2,B.1.351-Y501N,0.05,5,525255,210816
3162,rep2,B.1.351-Y501N,0.025,2.5,139327,210816
3162,rep2,B.1.351-Y501N,0.0125,1.25,89284,210816
3162,rep2,B.1.351-Y501N,0.00625,0.625,55878,210816
3162,rep2,B.1.351-Y501N,0.003125,0.3125,22341,210816
3162,rep2,B.1.351-Y501N,0.0015625,0.15625,12637,210816
3162,rep2,B.1.351-Y501N,0.00078125,0.078125,1243,210816
3163,rep1,B.1.351-K484E,0.1,10,3345569,210816
3163,rep1,B.1.351-K484E,0.05,5,1038109,210816
3163,rep1,B.1.351-K484E,0.025,2.5,346813,210816
3163,rep1,B.1.351-K484E,0.0125,1.25,159542,210816
3163,rep1,B.1.351-K484E,0.00625,0.625,78155,210816
3163,rep1,B.1.351-K484E,0.003125,0.3125,38692,210816
3163,rep1,B.1.351-K484E,0.0015625,0.15625,33496,210816
3163,rep1,B.1.351-K484E,0.00078125,0.078125,4410,210816
3163,rep2,B.1.351-K484E,0.1,10,2988261,210816
3163,rep2,B.1.351-K484E,0.05,5,951306,210816
3163,rep2,B.1.351-K484E,0.025,2.5,328457,210816
3163,rep2,B.1.351-K484E,0.0125,1.25,159388,210816
3163,rep2,B.1.351-K484E,0.00625,0.625,82082,210816
3163,rep2,B.1.351-K484E,0.003125,0.3125,34971,210816
3163,rep2,B.1.351-K484E,0.0015625,0.15625,13792,210816
3163,rep2,B.1.351-K484E,0.00078125,0.078125,3838,210816
3164,rep1,B.1.351-K484Q,0.1,10,1605698,210816
3164,rep1,B.1.351-K484Q,0.05,5,628072,210816
3164,rep1,B.1.351-K484Q,0.025,2.5,286427,210816
3164,rep1,B.1.351-K484Q,0.0125,1.25,104535,210816
3164,rep1,B.1.351-K484Q,0.00625,0.625,68158,210816
3164,rep1,B.1.351-K484Q,0.003125,0.3125,40595,210816
3164,rep1,B.1.351-K484Q,0.0015625,0.15625,15610,210816
3164,rep1,B.1.351-K484Q,0.00078125,0.078125,8208,210816
3164,rep2,B.1.351-K484Q,0.1,10,1172916,210816
3164,rep2,B.1.351-K484Q,0.05,5,409959,210816
3164,rep2,B.1.351-K484Q,0.025,2.5,192750,210816
3164,rep2,B.1.351-K484Q,0.0125,1.25,117334,210816
3164,rep2,B.1.351-K484Q,0.00625,0.625,60698,210816
3164,rep2,B.1.351-K484Q,0.003125,0.3125,26109,210816
3164,rep2,B.1.351-K484Q,0.0015625,0.15625,14855,210816
3164,rep2,B.1.351-K484Q,0.00078125,0.078125,5531,210816
3165,rep1,B.1.351-K444E,0.1,10,2397359,210816
3165,rep1,B.1.351-K444E,0.05,5,741722,210816
3165,rep1,B.1.351-K444E,0.025,2.5,314428,210816
3165,rep1,B.1.351-K444E,0.0125,1.25,135389,210816
3165,rep1,B.1.351-K444E,0.00625,0.625,58298,210816
3165,rep1,B.1.351-K444E,0.003125,0.3125,44130,210816
3165,rep1,B.1.351-K444E,0.0015625,0.15625,23730,210816
3165,rep1,B.1.351-K444E,0.00078125,0.078125,12867,210816
3165,rep2,B.1.351-K444E,0.1,10,1944459,210816
3165,rep2,B.1.351-K444E,0.05,5,629617,210816
3165,rep2,B.1.351-K444E,0.025,2.5,300719,210816
3165,rep2,B.1.351-K444E,0.0125,1.25,104194,210816
3165,rep2,B.1.351-K444E,0.00625,0.625,58383,210816
3165,rep2,B.1.351-K444E,0.003125,0.3125,21236,210816
3165,rep2,B.1.351-K444E,0.0015625,0.15625,18297,210816
3165,rep2,B.1.351-K444E,0.00078125,0.078125,16131,210816
3166,rep1,D614G-K444E,0.1,10,1718124,210816
3166,rep1,D614G-K444E,0.05,5,548969,210816
3166,rep1,D614G-K444E,0.025,2.5,283803,210816
3166,rep1,D614G-K444E,0.0125,1.25,122912,210816
3166,rep1,D614G-K444E,0.00625,0.625,49392,210816
3166,rep1,D614G-K444E,0.003125,0.3125,34078,210816
3166,rep1,D614G-K444E,0.0015625,0.15625,12839,210816
3166,rep1,D614G-K444E,0.00078125,0.078125,14354,210816
3166,rep2,D614G-K444E,0.1,10,1507811,210816
3166,rep2,D614G-K444E,0.05,5,600261,210816
3166,rep2,D614G-K444E,0.025,2.5,309516,210816
3166,rep2,D614G-K444E,0.0125,1.25,141308,210816
3166,rep2,D614G-K444E,0.00625,0.625,64116,210816
3166,rep2,D614G-K444E,0.003125,0.3125,23842,210816
3166,rep2,D614G-K444E,0.0015625,0.15625,12293,210816
3166,rep2,D614G-K444E,0.00078125,0.078125,17807,210816
2800,rep1,D614G_WT_lab,0.1,10,2374867,210816
2800,rep1,D614G_WT_lab,0.05,5,875967,210816
2800,rep1,D614G_WT_lab,0.025,2.5,428697,210816
2800,rep1,D614G_WT_lab,0.0125,1.25,165401,210816
2800,rep1,D614G_WT_lab,0.00625,0.625,73946,210816
2800,rep1,D614G_WT_lab,0.003125,0.3125,36547,210816
2800,rep1,D614G_WT_lab,0.0015625,0.15625,46581,210816
2800,rep1,D614G_WT_lab,0.00078125,0.078125,40271,210816
2800,rep1, D614G_WT_Rachel,0.1,10,4288819,210816
2800,rep1, D614G_WT_Rachel,0.05,5,1293231,210816
2800,rep1, D614G_WT_Rachel,0.025,2.5,608490,210816
2800,rep1, D614G_WT_Rachel,0.0125,1.25,298577,210816
2800,rep1, D614G_WT_Rachel,0.00625,0.625,132498,210816
2800,rep1, D614G_WT_Rachel,0.003125,0.3125,68439,210816
2800,rep1, D614G_WT_Rachel,0.0015625,0.15625,43842,210816
2800,rep1, D614G_WT_Rachel,0.00078125,0.078125,27798,210816
2800,rep2, D614G_WT_Rachel,0.1,10,3942620,210816
2800,rep2, D614G_WT_Rachel,0.05,5,1228147,210816
2800,rep2, D614G_WT_Rachel,0.025,2.5,627869,210816
2800,rep2, D614G_WT_Rachel,0.0125,1.25,266403,210816
2800,rep2, D614G_WT_Rachel,0.00625,0.625,164562,210816
2800,rep2, D614G_WT_Rachel,0.003125,0.3125,61566,210816
2800,rep2, D614G_WT_Rachel,0.0015625,0.15625,30855,210816
2800,rep2, D614G_WT_Rachel,0.00078125,0.078125,25944,210816
2957,rep1,B.1.351_WT_Rachel,0.1,10,1635765,210816
2957,rep1,B.1.351_WT_Rachel,0.05,5,429790,210816
2957,rep1,B.1.351_WT_Rachel,0.025,2.5,231559,210816
2957,rep1,B.1.351_WT_Rachel,0.0125,1.25,99162,210816
2957,rep1,B.1.351_WT_Rachel,0.00625,0.625,35544,210816
2957,rep1,B.1.351_WT_Rachel,0.003125,0.3125,21115,210816
2957,rep1,B.1.351_WT_Rachel,0.0015625,0.15625,13163,210816
2957,rep1,B.1.351_WT_Rachel,0.00078125,0.078125,8346,210816
2957,rep2,B.1.351_WT_Rachel,0.1,10,1958798,210816
2957,rep2,B.1.351_WT_Rachel,0.05,5,639255,210816
2957,rep2,B.1.351_WT_Rachel,0.025,2.5,253669,210816
2957,rep2,B.1.351_WT_Rachel,0.0125,1.25,127814,210816
2957,rep2,B.1.351_WT_Rachel,0.00625,0.625,71870,210816
2957,rep2,B.1.351_WT_Rachel,0.003125,0.3125,23837,210816
2957,rep2,B.1.351_WT_Rachel,0.0015625,0.15625,15609,210816
2957,rep2,B.1.351_WT_Rachel,0.00078125,0.078125,11126,210816
no_spike,rep1,no_spike,0.1,10,12,210816
no_spike,rep1,no_spike,0.05,5,2,210816
no_spike,rep1,no_spike,0.025,2.5,13,210816
no_spike,rep1,no_spike,0.0125,1.25,0,210816
no_spike,rep1,no_spike,0.00625,0.625,-1,210816
no_spike,rep1,no_spike,0.003125,0.3125,7,210816
no_spike,rep1,no_spike,0.0015625,0.15625,3,210816
no_spike,rep1,no_spike,0.00078125,0.078125,7,210816