serum,depleted,ratio_beads,amount_RBD_protein,ligand,date,100,300,900,2700,8100,200,600,1800,5400,16200
K006,mock,2to1,100ug,RBD,210512,0.028100006,-0.013700001,-0.022,-0.0273,-0.029100001,,,,,
K007,mock,2to1,100ug,RBD,210512,3.254299998,2.800300002,2.16200006,1.215000033,0.487399995,,,,,
K031,mock,2to1,100ug,RBD,210512,3.450000085,3.119900025,2.385599889,1.579999961,0.641400017,,,,,
K033,mock,2to1,100ug,RBD,210512,3.523200005,3.256000012,3.00060007,2.363699883,1.344500035,,,,,
K040,mock,2to1,100ug,RBD,210512,3.648399949,3.374800086,2.928300023,2.289399981,1.282400012,,,,,
K041,mock,2to1,100ug,RBD,210512,3.383299895,3.098800011,2.599700041,1.824600048,0.750800021,,,,,
K046,mock,2to1,100ug,RBD,210512,3.470699914,3.049100049,2.520899899,1.304000027,0.529500015,,,,,
K114,mock,2to1,100ug,RBD,210512,3.264799997,2.949000046,1.875199959,0.895000026,0.323699996,,,,,
K006,2x 2:1 depleted,2to1,100ug,RBD,210512,0.038800001,0.003899999,-0.002700001,-0.000700004,0.052599996,,,,,
K007,2x 2:1 depleted,2to1,100ug,RBD,210512,0.582799993,0.232500009,0.101200007,0.039999999,0.033399999,,,,,
K031,2x 2:1 depleted,2to1,100ug,RBD,210512,1.095600054,0.64670001,0.202999994,0.070099995,0.033999994,,,,,
K033,2x 2:1 depleted,2to1,100ug,RBD,210512,2.069899917,1.289499998,0.594500005,0.224799991,0.090300009,,,,,
K040,2x 2:1 depleted,2to1,100ug,RBD,210512,2.280899972,1.736499995,0.841100007,0.346100003,0.121199995,,,,,
K041,2x 2:1 depleted,2to1,100ug,RBD,210512,1.878899999,0.887799986,0.469100006,0.145499997,0.060999997,,,,,
K046,2x 2:1 depleted,2to1,100ug,RBD,210512,1.121899992,0.470800012,0.222499996,0.070299998,0.0348,,,,,
K114,2x 2:1 depleted,2to1,100ug,RBD,210512,1.082999982,0.519399978,0.205300011,0.058800004,0.018199995,,,,,
K115,mock,2to1,100ug,RBD,210512,2.70639991,1.653499953,0.740299992,0.266600005,0.0999,,,,,
K116,mock,2to1,100ug,RBD,210512,0.806699976,0.286600009,0.109999999,0.036899999,0.001199998,,,,,
K119,mock,2to1,100ug,RBD,210512,3.494699925,3.049799889,2.204600066,1.457800001,0.586100012,,,,,
REGN10987,mock,2to1,100ug,RBD,210512,,,,,,3.184699975,2.997899972,2.587599955,1.747799955,0.906699978
K115,2x 2:1 depleted,2to1,100ug,RBD,210512,0.081299998,0.023800001,0.001699999,-0.006299995,-0.006899998,,,,,
K116,2x 2:1 depleted,2to1,100ug,RBD,210512,0.054800004,0.0123,0.000399999,-0.0101,-0.019199997,,,,,
K119,2x 2:1 depleted,2to1,100ug,RBD,210512,0.975600004,0.478500009,0.238700002,0.053900003,0.007799998,,,,,
REGN10987,2x 2:1 depleted,2to1,100ug,RBD,210512,,,,,,0.081600003,0.026299998,0.003600001,-0.006900005,-0.013800003
K006,mock,2to1,100ug,spike,210512,0.047600009,-0.000100002,-0.015699998,-0.0207,-0.021499999,,,,,
K007,mock,2to1,100ug,spike,210512,3.386700042,2.948900111,2.4201001,1.548599966,0.687399991,,,,,
K031,mock,2to1,100ug,spike,210512,3.395699941,3.069299899,2.25979992,1.483200036,0.602799974,,,,,
K033,mock,2to1,100ug,spike,210512,3.663700081,3.332499959,2.794399954,2.163700081,1.138800003,,,,,
K040,mock,2to1,100ug,spike,210512,3.783700034,3.448200032,2.908299968,2.101500079,1.162799999,,,,,
K041,mock,2to1,100ug,spike,210512,3.655399963,3.421499893,2.751799986,1.965599939,0.898600027,,,,,
K046,mock,2to1,100ug,spike,210512,3.691100068,3.193999954,2.445899911,1.396799989,0.611999996,,,,,
K114,mock,2to1,100ug,spike,210512,3.922399998,3.601900101,2.833600044,1.765100002,0.815400004,,,,,
K006,2x 2:1 depleted,2to1,100ug,spike,210512,0.050700001,0.012999997,-0.000600003,-0.0031,0.005000003,,,,,
K007,2x 2:1 depleted,2to1,100ug,spike,210512,2.935599957,2.276499901,1.547400031,0.814100001,0.359200004,,,,,
K031,2x 2:1 depleted,2to1,100ug,spike,210512,2.525100082,2.216499895,1.193000048,0.576599985,0.245900005,,,,,
K033,2x 2:1 depleted,2to1,100ug,spike,210512,2.967699893,2.514099963,1.850100048,1.107399948,0.608999975,,,,,
K040,2x 2:1 depleted,2to1,100ug,spike,210512,3.099400003,2.928800065,1.919599969,1.116200048,0.480799992,,,,,
K041,2x 2:1 depleted,2to1,100ug,spike,210512,3.320899919,2.934800103,2.134999946,1.107600048,0.474500015,,,,,
K046,2x 2:1 depleted,2to1,100ug,spike,210512,3.238699988,2.362999991,1.658199981,0.857100025,0.365899995,,,,,
K114,2x 2:1 depleted,2to1,100ug,spike,210512,3.685399905,3.185599938,2.577999964,1.608400002,0.640000001,,,,,
K115,mock,2to1,100ug,spike,210512,2.449800029,1.403599992,0.615099981,0.232000008,0.090499997,,,,,
K116,mock,2to1,100ug,spike,210512,1.25190001,0.563199989,0.214700006,0.084400006,0.022500001,,,,,
K119,mock,2to1,100ug,spike,210512,3.335399963,3.037799932,2.12340007,1.361999966,0.581100024,,,,,
REGN10987,mock,2to1,100ug,spike,210512,,,,,,2.862100065,2.819699943,2.455700099,1.667699993,0.848399997
K115,2x 2:1 depleted,2to1,100ug,spike,210512,1.532499969,0.695100009,0.261700004,0.076700002,0.008299999,,,,,
K116,2x 2:1 depleted,2to1,100ug,spike,210512,0.793700017,0.322200008,0.125600003,0.027300008,-0.005099997,,,,,
K119,2x 2:1 depleted,2to1,100ug,spike,210512,3.206100114,2.675200112,1.721300013,0.798699982,0.305100001,,,,,
REGN10987,2x 2:1 depleted,2to1,100ug,spike,210512,,,,,,0.108299993,0.044799991,0.015499994,-0.000300005,-0.013900004